"trump_vote","host_imm","unemp","male","college","white","home_owner","age","weight"
0,2.5,0,0,1,1,0,36,0.617986102352656
0,2.5,0,0,1,1,1,42,1.03664823826179
NA,10,0,1,0,1,1,72,0.257274017315962
1,5,0,1,0,1,0,78,0.699839217227847
1,5,0,0,1,1,1,64,1.22013106613908
0,0,0,0,1,1,1,47,0.550809294089445
0,0,0,0,1,1,1,64,1.19977684580344
0,0,0,0,1,1,1,60,0.373717358058748
1,2.5,0,0,1,1,1,59,1.48689925588278
0,0,1,0,1,1,1,63,2.13578055575764
1,10,0,1,0,1,1,49,2.89002842614189
1,0,0,1,0,1,1,64,1.24113108582693
1,10,0,1,0,1,1,60,1.82195244234925
0,10,0,0,0,1,1,67,0.584561838680984
NA,0,0,0,0,1,1,86,0.15269172299907
1,2.5,0,0,0,1,1,77,0.421402556213349
0,0,0,0,1,1,1,71,0.617883820026344
0,2.5,0,0,1,1,1,73,0.858466657496092
0,0,0,0,1,1,1,68,0.916340753809196
1,10,0,0,1,1,1,72,2.42775942078835
0,2.5,0,0,1,1,1,78,0.717448607709968
0,0,0,0,1,1,1,45,0.882396901383876
0,2.5,0,0,1,1,0,51,0.68195248668411
0,2.5,0,0,1,1,1,53,0.699593153004294
1,10,0,0,1,1,1,60,0.471527677702679
0,2.5,0,0,1,1,1,50,0.557786172618843
1,5,0,0,1,1,1,64,0.860892713021086
1,0,0,1,0,0,0,61,1.13493617158118
NA,5,0,0,1,0,0,28,0.413564985882662
0,0,0,1,1,0,1,75,0.336757749773553
1,2.5,0,0,1,0,1,49,0.344337172423856
0,2.5,0,0,1,0,0,70,0.496799055449614
0,0,0,0,1,0,1,73,0.291930609335619
0,0,1,1,1,1,0,33,1.54693768166138
0,0,0,0,1,0,1,49,0.538906933750803
1,10,0,0,0,1,0,85,1.48788538440286
0,5,0,0,0,1,1,72,1.08563974509993
1,5,0,1,0,1,1,59,0.9973297259938
0,0,0,1,1,1,1,63,0.488887124988438
0,0,1,1,1,1,0,27,1.43239851534492
1,7.5,0,1,1,1,1,55,0.667059419801302
1,10,0,1,1,1,1,61,0.96017801997669
1,10,0,1,1,1,1,49,1.00206922935704
1,10,0,0,0,1,1,53,0.315810387774387
NA,7.5,0,1,0,1,1,82,0.208683864370101
1,10,0,1,1,1,1,72,0.99685465788377
0,5,0,1,1,1,1,73,0.33228303818307
1,7.5,0,1,1,1,1,79,0.691358998228166
0,0,0,1,1,1,0,59,0.970048430171097
1,10,0,1,1,1,1,60,1.08456122614259
1,5,0,1,1,1,1,46,0.74528237928844
0,5,0,1,1,1,1,63,0.507460974867442
0,2.5,0,1,1,1,1,62,1.1578280451369
1,10,0,1,1,1,1,59,0.193348973201086
0,5,0,0,1,0,1,64,0.29186169611722
1,7.5,0,0,1,1,1,52,2.44009451783165
0,0,0,0,0,1,1,79,0.264779078140191
1,10,0,1,0,1,0,47,2.3848127128034
NA,5,0,1,0,1,1,76,0.425019543258126
0,0,0,1,1,1,0,41,0.424033997541192
0,0,1,0,1,1,0,74,0.616097807507066
0,0,0,1,1,0,0,60,0.254477746029941
0,2.5,0,1,0,1,0,73,0.830218124378837
0,5,0,1,1,1,1,55,0.497772627317707
1,5,0,0,1,1,0,39,0.176404802402391
1,10,0,1,0,1,1,60,0.795796945074438
0,0,0,0,0,1,1,66,1.45084728384841
NA,5,0,1,0,0,1,65,0.344708922634674
0,5,0,1,0,0,0,59,1.2522042714135
1,10,0,1,0,1,1,57,0.806560083820685
1,10,0,1,1,1,1,60,1.30203212783569
0,2.5,1,0,0,1,0,19,0.651149834008033
0,0,0,1,1,1,0,74,0.915892391279722
0,2.5,0,1,1,1,1,83,0.439877416887928
0,0,0,1,1,1,1,53,0.670154439701699
0,2.5,0,1,1,1,0,69,0.461064578452806
1,7.5,0,1,1,1,1,60,0.893209942194325
0,5,0,1,1,0,1,60,0.448654500928078
0,5,1,1,1,1,1,61,0.065359173802115
0,7.5,0,0,1,1,1,55,1.4005957936854
0,5,1,0,1,0,1,68,1.02655232174858
0,0,0,0,1,1,0,34,0.378337561879636
0,0,0,0,1,1,1,38,0.61456068727098
0,5,0,1,1,1,1,80,0.55489742938685
1,7.5,1,0,1,0,1,60,0.763658585230122
1,5,0,0,0,0,0,70,1.61152212672937
1,10,0,1,0,1,1,66,1.46607859708945
0,0,0,0,0,1,1,57,0.903557090789568
0,7.5,0,0,0,1,0,54,1.81265316952724
0,0,0,0,0,1,1,49,0.591742564955518
1,7.5,0,0,1,1,1,63,1.5483861349946
0,0,0,0,1,1,1,52,0.231689086290649
1,2.5,0,0,1,1,1,62,1.22854963951106
0,0,0,0,1,1,1,48,0.693469741490722
0,0,0,0,1,1,1,61,0.756186932909145
0,0,0,0,1,1,0,55,0.245412172565521
0,0,0,0,1,1,1,58,0.771551366644845
1,2.5,0,1,0,1,0,57,1.39906549879652
1,7.5,0,0,0,1,1,70,1.48045227574218
0,0,0,0,1,1,1,68,0.67167562402336
1,5,0,0,0,1,0,79,0.614122406792358
0,0,0,0,1,1,1,70,0.619118212959554
0,2.5,0,0,1,1,0,68,1.32010420957742
0,0,0,0,1,1,1,75,0.480658248297715
NA,7.5,0,0,1,1,1,76,0.228092674060219
0,0,0,0,1,1,0,74,0.916340753809196
1,10,0,0,1,1,1,69,1.70722702691365
1,10,0,0,1,1,1,59,1.1889823063922
0,2.5,0,0,1,1,1,34,1.17666425296177
1,10,0,0,1,1,1,32,0.807106906580978
NA,0,0,1,0,0,0,67,0.12489170118017
1,10,0,1,1,0,1,68,0.753197256622912
1,5,0,0,0,1,1,70,0.562759923589603
1,10,0,1,0,1,1,63,1.4751080808067
0,2.5,0,1,0,1,1,59,0.525648398033645
0,2.5,0,1,0,1,1,60,1.13892134662135
1,7.5,0,1,0,1,1,63,1.25294267016373
0,7.5,0,1,1,1,0,49,0.407842759184757
1,10,0,1,1,1,1,61,1.02803298998876
1,7.5,0,1,1,1,1,61,0.749691503460119
1,2.5,0,1,1,1,1,56,1.10170803946996
0,7.5,0,1,1,1,0,46,0.317419143702677
1,5,0,1,0,1,1,74,0.0980218751534441
1,10,0,1,0,1,1,83,0.99642991805489
1,10,0,1,1,1,1,81,0.213435296819953
1,10,0,1,1,1,1,78,0.737149852760448
NA,0,0,0,1,0,0,32,0.11314941942235
0,5,0,1,1,1,0,61,0.970048430171097
0,2.5,0,1,1,1,1,61,1.07520470268486
1,10,0,1,1,1,0,51,0.324722753520239
0,0,0,1,1,1,0,60,0.620756421065396
1,10,0,1,1,1,1,51,1.00983128151319
0,7.5,0,1,1,0,0,50,0.7431337739957
0,0,0,1,1,1,1,42,0.564196469497869
1,7.5,0,1,1,1,1,48,1.31969208292526
1,10,0,1,0,1,1,62,0.546305882239884
NA,2.5,0,1,0,0,0,73,0.651272841185075
0,0,0,1,0,1,1,77,1.32807589694127
0,0,0,1,0,1,1,67,0.558193623994308
1,10,0,1,1,1,1,44,0.751683779092561
1,7.5,0,1,0,1,1,58,1.13311078779564
1,2.5,0,0,0,1,1,71,0.43520799885489
NA,7.5,0,0,0,1,0,43,1.48626883700748
1,10,0,1,0,1,1,72,0.723437277671915
0,7.5,0,0,1,1,1,69,1.85115215848477
1,7.5,0,0,1,1,1,62,1.30788298768506
1,10,0,1,1,1,1,59,1.19034303117052
0,2.5,0,0,1,1,0,65,1.60708432712072
1,7.5,0,1,0,0,1,56,0.132495130270707
0,0,0,1,1,1,1,53,0.712690192037163
0,0,0,1,0,1,1,68,0.53360669147441
NA,2.5,0,0,0,1,0,32,0.551670392454547
0,2.5,0,0,1,1,0,41,0.945218219229224
